tempo,danceability,energy,instrumentalness,liveness,valence
177.018,0.313,0.381,0,0.107,0.103
119.914,0.45,0.332,0.0145,0.113,0.0636
159.972,0.75,0.473,0,0.27,0.49
140.078,0.844,0.533,3.46E-06,0.0953,0.23
114.012,0.787,0.406,0,0.0861,0.146
220.216,0.527,0.742,0,0.211,0.295
149.025,0.842,0.791,0,0.0732,0.662
135.379,0.362,0.489,0,0.101,0.0384
115.024,0.64,0.607,0.819,0.108,0.0415
150.05,0.618,0.658,1.03E-06,0.101,0.214
145.103,0.648,0.712,0,0.106,0.408
155.736,0.389,0.559,0.000389,0.0929,0.0686
124.999,0.679,0.349,0.0876,0.111,0.147
220.022,0.839,0.749,0.0137,0.224,0.292
158.374,0.266,0.508,0,0.485,0.151
156.808,0.219,0.573,0,0.0341,0.0653
164.823,0.305,0.757,0.299,0.576,0.474
145.981,0.655,0.87,0.00185,0.337,0.463
127.632,0.531,0.702,0.125,0.218,0.0906
136.511,0.434,0.945,0.000351,0.397,0.156
160.065,0.646,0.656,0,0.103,0.501
180.172,0.597,0.364,0,0.0713,0.262
133.031,0.719,0.878,2.28E-05,0.394,0.544
119.989,0.663,0.618,0.000711,0.259,0.15
160.018,0.668,0.323,2.27E-05,0.13,0.217
139.926,0.541,0.675,0,0.0741,0.119
172.03,0.779,0.578,1.31E-05,0.124,0.429
150.589,0.346,0.769,0,0.0815,0.163
153.918,0.831,0.569,2.31E-06,0.0969,0.518
130.728,0.782,0.546,0.0423,0.348,0.505
160.427,0.879,0.334,0.074,0.111,0.173
195.6,0.379,0.468,4.00E-05,0.109,0.0331
156.994,0.462,0.781,0,0.101,0.269
159.988,0.661,0.351,0.000103,0.0868,0.143
155.354,0.601,0.878,0.0381,0.143,0.463
119.986,0.773,0.286,0.00195,0.172,0.67
204.042,0.588,0.952,8.29E-06,0.306,0.469
173.35,0.695,0.592,0,0.435,0.339
160.017,0.851,0.583,0.547,0.105,0.591
114.988,0.842,0.39,0,0.103,0.0936
139.984,0.808,0.59,0,0.0955,0.302
120.02,0.662,0.505,0.0166,0.607,0.774
161.852,0.748,0.85,0,0.362,0.508
183.986,0.921,0.567,0,0.306,0.641
160.14,0.605,0.865,0,0.0504,0.347
179.874,0.546,0.775,0.0073,0.0889,0.0392
199.902,0.216,0.476,0.174,0.0719,0.0596
160.001,0.601,0.769,0,0.105,0.288
170.013,0.815,0.822,0,0.188,0.796
119.963,0.692,0.795,0,0.102,0.158
120.004,0.845,0.487,3.28E-06,0.144,0.0745
141.129,0.517,0.932,0.0487,0.405,0.166
160.029,0.796,0.674,1.12E-05,0.0776,0.359
159.873,0.819,0.462,1.62E-05,0.318,0.5
187.838,0.782,0.692,0.0863,0.0856,0.14
140.802,0.574,0.535,0,0.113,0.214
120.095,0.623,0.785,0.000318,0.26,0.47
119.946,0.65,0.492,0,0.0492,0.352
153.414,0.406,0.839,0,0.121,0.073
